,Brand,Model,Weight,Operating System,Display Size,Pixel Density,Display Touchscreen,Clock-speed,Capacity,RAM Type,SSD Capacity,Battery Type,Wi-Fi Version,Warranty,Price (Rs),Weight_Category,Resolution_X,Resolution_Y,GPU_Brand,GPU_Tier,CPU_Brand,CPU_Category,Total_Pixels,Screen_Category,PPI_Category
859,HP,14s-DQ2535TU (3V7P2PA),1.46,Windows 10,14.0,112,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,51999.0,Light,1366,768,Intel,Integrated,Intel,i5-1Gen,1049088,Medium,Low
860,HP,15-bw519au (2SL76PA),1.86,Windows 10,15.6,100,No,3,4 GB,DDR4,512 GB,Li-Ion,4.0,1,24990.0,Normal,1366,768,AMD,Integrated,AMD,Other,1049088,Medium,Low
861,HP,14s-dk0093au (7QZ52PA),1.47,Windows 10,14.0,157,No,2,8 GB,DDR4,256 GB,Li-Ion,4.0,1,49290.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-3Gen,2073600,Medium,Medium
862,Lenovo,3 15IGL05 (81WQ00MQIN),1.7,Windows 11,15.6,100,No,1,8 GB,DDR4,256 GB,Li-Ion,5.0,1,25874.0,Light,1366,768,Intel,Integrated,Intel,Other,1049088,Medium,Low
863,Acer,A315-33 (NX.GY3SI.004),2.1,Linux,15.6,100,No,1,2 GB,DDR3,512 GB,Li-Ion,5.0,1,15990.0,Normal,1366,768,Intel,Integrated,Intel,Other,1049088,Medium,Low
864,Asus,FA706IHRB-HX041W,2.6,Windows 11,17.3,127,No,4,8 GB,DDR4,512 GB,Li-Ion,6.0,1,46890.0,Heavy,1920,1080,NVIDIA,Entry Gaming,AMD,Other,2073600,Large,Low
865,HP,15-ec0104AX (194V6PA),1.98,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,55490.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-3Gen,2073600,Medium,Medium
866,Acer,PH315-53-72E9 (NH.QA4SI.001),2.5,Windows 10,15.6,141,No,5,16 GB,DDR4,256 GB,Li-Ion,5.0,1,114106.0,Heavy,1920,1080,NVIDIA,Other,Intel,i7-10Gen,2073600,Medium,Medium
867,Asus,G513IH-HN086T,2.1,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,75999.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 7-4Gen,2073600,Medium,Medium
868,HP,14-dv1001TU (50N47PA),1.41,Windows 11,14.0,157,No,4,16 GB,DDR4,512 GB,Li-Po,5.0,1,65300.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
869,Asus,X412FA-EK295T,1.5,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,54990.0,Light,1920,1080,Intel,Integrated,Intel,i5-8Gen,2073600,Medium,Medium
870,HP,14-dv2014TU (6K9C3PA),1.41,Windows 11,14.0,157,No,4,16 GB,DDR4,512 GB,Li-Ion,5.0,1,63990.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
871,Xiaomi,Mi Notebook Ultra,1.79,Windows 10,15.6,242,No,3,8 GB,DDR4,512 GB,Li-Po,6.0,1,52990.0,Light,3200,2000,Intel,Integrated,Intel,i5-11Gen,6400000,Medium,High
872,HP,15-bc406tx (4WC97PA),2.2,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,54990.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-8Gen,2073600,Medium,Medium
873,Lenovo,V15 G2 (82QYA00MIN),1.7,Windows 11,15.6,141,No,1,8 GB,DDR4,256 GB,Li-Ion,5.0,1,21980.0,Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
874,Xiaomi,Mi Notebook Ultra,1.79,Windows 10,15.6,242,No,4,16 GB,DDR4,512 GB,Li-Po,6.0,1,57990.0,Light,3200,2000,Intel,Integrated,Intel,i5-11Gen,6400000,Medium,High
875,Acer,A315-51-Z (UN.CTESI.012),2.2,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,31406.0,Normal,1366,768,Intel,Integrated,Intel,i3-7Gen,1049088,Medium,Low
876,Asus,15 M6500IH-HN701WS,1.8,Windows 11,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,66990.0,Light,1920,1080,NVIDIA,Entry Gaming,AMD,Other,2073600,Medium,Medium
877,Dell,3511 (D560860WIN9BE),1.8,Windows 11,15.6,141,No,4,8 GB,DDR4,256 GB,Li-Ion,5.0,1,46299.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
878,HP,15s-eq0500AU (440L6PA),1.69,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Po,5.0,1,36990.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-3Gen,2073600,Medium,Medium
879,HP,15-bw531au (3DY29PA),1.86,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,26990.0,Normal,1366,768,AMD,Integrated,AMD,Other,1049088,Medium,Low
880,Acer,A315-51 (NX.GNPSI.008),2.1,Linux,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,28990.0,Normal,1366,768,Intel,Integrated,Intel,i3-7Gen,1049088,Medium,Low
881,Acer,A515-51G (UN.GVMSI.002),2.0,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,56666.0,Normal,1920,1080,NVIDIA,Basic Dedicated,Intel,i5-7Gen,2073600,Medium,Medium
882,HP,15s-dy3501TU (5S7P8PA),1.75,Windows 11,15.6,100,No,3,8 GB,DDR4,512 GB,Li-Ion,5.0,1,33900.0,Light,1366,768,Intel,Integrated,Intel,i3-1Gen,1049088,Medium,Low
883,Acer,A515-51G -5673 (NX.GVLSI.001),2.2,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,49212.0,Normal,1920,1080,NVIDIA,Basic Dedicated,Intel,i5-7Gen,2073600,Medium,Medium
884,HP,14-EC1019AU (6D9T7PA),1.41,Windows 11,14.0,157,No,2,16 GB,DDR4,512 GB,Li-Ion,5.0,1,65628.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
885,Asus,FX505GT-HN101T,2.2,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,64990.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-9Gen,2073600,Medium,Medium
886,Lenovo,3 15IML05 (81WB015GIN),1.7,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,33490.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
887,Avita,NS14A8INV561,1.25,Windows 10,14.0,157,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,38956.0,Ultra Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-3Gen,2073600,Medium,Medium
888,HP,15q-bu013tu (2TZ31PA),1.86,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,4.0,1,34881.0,Normal,1366,768,Intel,Integrated,Intel,i3-6Gen,1049088,Medium,Low
889,Asus,G531GT-BQ002T,2.4,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,77740.0,Heavy,1920,1080,NVIDIA,Entry Gaming,Intel,i5-9Gen,2073600,Medium,Medium
890,Lenovo,320E (80XH01LRIN),2.2,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,30990.0,Normal,1366,768,Intel,Integrated,Intel,i3-6Gen,1049088,Medium,Low
891,Asus,K15 OLED KM513UA-L511WS,1.8,Windows 11,15.6,141,No,2,16 GB,DDR4,512 GB,Li-Ion,6.0,1,64990.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
892,Lenovo,Gaming 3 15ARH05 (82EY0024IN),2.2,Windows 10,15.6,141,No,3,8 GB,DDR4,256 GB,Li-Po,5.0,1,62490.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-4Gen,2073600,Medium,Medium
893,HP,14-ec1003AU (689H4PA),1.41,Windows 11,14.0,157,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,52500.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
894,Lenovo,S145 (81W800SAIN),1.85,Windows 10,15.6,141,No,1,4 GB,DDR4,512 GB,Li-Ion,5.0,1,30990.0,Normal,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
895,Dell,15 3552 (A565503UIN9),2.1,Linux,15.6,100,No,1,4 GB,DDR3,512 GB,Li-Ion,5.0,1,18999.0,Normal,1366,768,Intel,Integrated,Intel,Other,1049088,Medium,Low
896,Lenovo,Slim 3 (81X800LCIN),1.7,Windows 11,15.6,141,No,3,8 GB,DDR4,256 GB,Li-Ion,5.0,2,35990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
897,Asus,15 OLED E1504FA-LK321WS,1.63,Windows 11,15.6,141,No,4,8 GB,DDR5,512 GB,Li-Ion,6.0,1,39990.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
898,HP,14-dv2153TU (8Y2S3PA),1.41,Windows 11,14.0,157,No,4,16 GB,DDR4,1 TB,Li-Ion,6.0,1,67490.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
899,HP,15-fa0070TX (6Z2P5PA),2.37,Windows 11,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,71990.0,Heavy,1920,1080,NVIDIA,Entry Gaming,Intel,i5-12Gen,2073600,Medium,Medium
900,Acer,ES1-533 (NX.GFTSI.003),2.4,Windows 10,15.6,100,No,1,4 GB,DDR3,512 GB,Li-Ion,5.0,1,25990.0,Heavy,1366,768,Intel,Integrated,Intel,Other,1049088,Medium,Low
901,HP,14s-dy5005TU,1.41,Windows 11,14.0,157,Yes,4,16 GB,DDR4,512 GB,Li-Ion,5.0,1,55890.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
902,Lenovo,S145 (81UT0044IN),1.85,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,38999.0,Normal,1920,1080,AMD,Integrated,AMD,Ryzen 5-3Gen,2073600,Medium,Medium
903,Lenovo,S145 (81W800TEIN),1.85,Windows 10,15.0,147,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,39999.0,Normal,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
904,Acer,R3-131T (NX.G0YSI.011),1.5,Windows 10,11.6,135,Yes,1,4 GB,DDR3,512 GB,Li-Ion,5.0,1,28999.0,Light,1366,768,Intel,Integrated,Intel,Other,1049088,Small,Low
905,Lenovo,S145 (81W800HDIN),1.85,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Po,5.0,1,44990.0,Normal,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
906,HP,14s-fr0016AU (300T0PA),1.47,Windows 10,14.0,157,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,41550.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 3-4Gen,2073600,Medium,Medium
907,HP,15s-du1034tu (9LA50PA),1.74,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,4.0,1,54990.0,Light,1920,1080,Intel,Integrated,Intel,i5-10Gen,2073600,Medium,Medium
908,HP,15s-fq2673TU (6N046PA),1.7,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,48419.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
909,Dell,14 3401 (D552175WIN9BE),1.58,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Po,5.0,1,33990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
910,HP,15a-na0012TU (743A1PA),1.69,Chrome OS,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,19990.0,Light,1366,768,Intel,Integrated,Intel,Other,1049088,Medium,Low
911,HP,14s-DQ2100TU (38Y95PA),1.46,Windows 10,14.0,112,No,4,8 GB,DDR4,256 GB,Li-Ion,5.0,1,34990.0,Light,1366,768,Intel,Integrated,Intel,i3-1Gen,1049088,Medium,Low
912,HP,15a-na0008TU (72K10PA),1.69,Chrome OS,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,17799.0,Light,1366,768,Intel,Integrated,Intel,Other,1049088,Medium,Low
913,HP,14s-dq3017TU (3Y0H4PA),1.46,Windows 10,14.0,112,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,1,27730.0,Light,1366,768,Intel,Integrated,Intel,Other,1049088,Medium,Low
915,Asus,F571GT-BN913TS,2.14,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,52240.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-9Gen,2073600,Medium,Medium
916,Dell,15 3568 (A553117WIN9),2.2,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,30998.0,Normal,1366,768,Intel,Integrated,Intel,i3-7Gen,1049088,Medium,Low
917,Acer,AN515-54 (NH.Q59SI.014),2.3,Windows 10,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,1,62990.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-9Gen,2073600,Medium,Medium
918,HP,x360 14-dh1179TU (231T1PA),1.58,Windows 10,14.0,157,Yes,1,8 GB,DDR4,512 GB,Li-Ion,6.0,1,61990.0,Light,1920,1080,Intel,Integrated,Intel,i5-10Gen,2073600,Medium,Medium
919,Lenovo,Slim 3 15IAU7 (82RK0062IN),1.63,Windows 11,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,6.0,2,47490.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
920,HP,11a-na0006MU (2E4N1PA),1.07,Chrome OS,11.6,135,Yes,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,17999.0,Ultra Light,1366,768,MediaTek,Other,MediaTek,Other,1049088,Small,Low
921,HP,11a-na0004MU (2E4M8PA),1.07,Chrome OS,11.6,135,Yes,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,18990.0,Ultra Light,1366,768,MediaTek,Other,MediaTek,Other,1049088,Small,Low
922,HP,15s-FQ2535TU (3V2N1PA),1.69,Windows 10,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,47899.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
923,Dell,15 3568 (A553501UIN9),2.18,Linux,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,23999.0,Normal,1366,768,Intel,Integrated,Intel,i3-6Gen,1049088,Medium,Low
924,Lenovo,S340 (81VV008TIN),1.55,Windows 10,14.0,157,No,1,8 GB,DDR4,256 GB,Li-Po,5.0,1,46999.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
925,Lenovo,(82RK0085IN),1.63,Windows 11,15.6,141,No,3,16 GB,DDR4,512 GB,Li-Po,6.0,2,52750.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
